Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10,Skill11,Skill12,Skill13,Surplus,persoon1,persoon2,persoon3,persoon4,persoon5,persoon6,Aantalpersonen,sum
1,1,1,1,1,1,0,1,1,1,1,0,1,2,10,2,20,20,20,20,2,11
1,0,1,1,1,1,1,1,1,1,1,0,1,2,11,6,20,20,20,20,2,11
1,0,1,1,0,1,1,1,1,1,1,1,1,3,12,1,20,20,20,20,2,11
1,1,1,1,0,0,1,1,1,1,1,1,1,3,12,5,20,20,20,20,2,11
1,1,1,1,0,0,1,1,1,1,1,1,1,3,12,8,20,20,20,20,2,11
1,1,1,1,1,1,1,1,1,0,1,0,1,4,4,2,20,20,20,20,2,11
1,1,1,1,1,1,0,1,1,1,1,0,1,5,3,2,20,20,20,20,2,11
1,1,1,1,1,1,0,1,1,1,1,0,1,5,6,2,20,20,20,20,2,11
1,1,1,1,1,1,1,1,1,0,1,0,1,5,8,2,20,20,20,20,2,11
1,1,1,1,1,1,1,1,1,0,1,0,1,6,11,2,20,20,20,20,2,11
1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,0,20,20,20,20,2,12
1,0,1,1,1,1,1,1,1,1,1,1,1,3,11,7,20,20,20,20,2,12
1,0,1,1,1,1,1,1,1,1,1,1,1,3,12,11,20,20,20,20,2,12
1,1,1,1,1,1,1,1,1,0,1,1,1,4,2,1,20,20,20,20,2,12
1,1,1,1,1,1,1,1,1,1,1,0,1,4,5,2,20,20,20,20,2,12
1,1,1,1,1,1,0,1,1,1,1,1,1,5,9,2,20,20,20,20,2,12
1,1,1,1,1,1,0,1,1,1,1,1,1,6,7,2,20,20,20,20,2,12
1,1,1,1,1,1,0,1,1,1,1,1,1,6,12,2,20,20,20,20,2,12
1,1,1,1,1,1,1,1,1,1,1,1,1,3,13,0,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,3,13,10,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,3,14,0,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,3,14,10,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,3,15,0,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,3,15,10,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,5,13,4,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,5,14,4,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,5,15,4,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,13,1,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,13,3,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,13,5,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,13,6,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,13,8,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,14,1,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,14,3,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,14,5,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,14,6,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,14,8,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,1,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,3,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,5,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,6,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,6,15,8,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,7,13,9,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,7,13,11,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,7,14,9,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,7,14,11,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,7,15,9,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,7,15,11,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,8,13,7,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,8,13,12,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,8,14,7,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,8,14,12,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,8,15,7,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,8,15,12,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,10,13,2,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,10,14,2,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,10,15,2,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,13,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,13,15,13,20,20,20,20,2,13
1,1,1,1,1,1,1,1,1,1,1,1,1,13,15,14,20,20,20,20,2,13
1,0,0,0,0,1,1,1,1,1,0,1,0,5,10,1,0,20,20,20,3,7
1,0,0,0,0,1,0,1,0,1,1,1,1,5,10,3,0,20,20,20,3,7
1,0,1,0,0,0,0,1,1,1,1,1,0,5,10,6,0,20,20,20,3,7
1,0,0,1,0,0,0,1,1,1,0,1,1,6,10,9,0,20,20,20,3,7
1,0,0,0,1,0,1,1,0,1,1,1,1,3,10,4,0,20,20,20,3,8
1,1,1,0,0,0,1,1,1,1,0,1,0,4,10,5,0,20,20,20,3,8
1,1,0,0,0,0,1,1,1,1,1,1,0,4,10,8,0,20,20,20,3,8
1,0,0,0,1,1,1,1,0,1,1,0,1,6,10,4,3,20,20,20,3,8
1,0,1,0,0,0,0,1,1,1,1,1,1,6,10,7,0,20,20,20,3,8
1,0,1,1,0,0,0,1,0,1,1,1,1,6,12,10,0,20,20,20,3,8
1,0,1,0,0,1,0,1,1,1,1,0,1,7,10,6,3,20,20,20,3,8
1,1,1,0,0,0,1,1,1,1,1,0,0,7,10,6,5,20,20,20,3,8
1,1,1,0,0,0,1,1,1,1,1,0,0,7,10,8,5,20,20,20,3,8
1,1,1,0,0,0,1,1,1,1,1,0,0,7,10,8,6,20,20,20,3,8
1,0,1,0,0,0,0,1,1,1,1,1,1,9,7,6,0,20,20,20,3,8
1,0,1,0,0,0,0,1,1,1,1,1,1,9,10,7,6,20,20,20,3,8
1,1,1,0,0,0,1,1,1,1,1,0,0,10,8,6,5,20,20,20,3,8
1,0,0,0,1,1,1,1,0,1,1,1,1,5,4,3,0,20,20,20,3,9
1,0,1,0,1,0,1,1,1,1,1,0,1,5,10,6,4,20,20,20,3,9
1,1,0,0,1,0,1,1,1,1,1,0,1,5,10,8,4,20,20,20,3,9
1,0,0,0,0,1,1,1,1,1,1,1,1,6,3,1,0,20,20,20,3,9
1,1,1,0,0,1,1,1,1,1,0,1,0,6,5,1,0,20,20,20,3,9
1,0,1,0,0,1,1,1,1,1,1,1,0,6,6,1,0,20,20,20,3,9
1,0,1,0,0,1,0,1,1,1,1,1,1,6,6,3,0,20,20,20,3,9
1,1,1,0,0,0,1,1,1,1,1,1,0,6,6,5,0,20,20,20,3,9
1,1,0,0,0,1,1,1,1,1,1,1,0,6,8,1,0,20,20,20,3,9
1,1,1,0,0,0,1,1,1,1,1,1,0,6,8,5,0,20,20,20,3,9
1,1,1,0,0,0,1,1,1,1,1,1,0,6,8,6,0,20,20,20,3,9
1,0,0,0,0,1,1,1,1,1,1,1,1,6,10,3,1,20,20,20,3,9
1,1,1,0,0,1,1,1,1,1,0,1,0,6,10,5,1,20,20,20,3,9
1,0,1,0,0,1,1,1,1,1,1,1,0,6,10,6,1,20,20,20,3,9
1,1,0,0,0,1,1,1,1,1,1,1,0,6,10,8,1,20,20,20,3,9
1,1,0,0,0,1,1,1,1,1,1,0,1,6,10,8,3,20,20,20,3,9
1,0,0,1,0,1,1,1,1,1,0,1,1,7,9,1,0,20,20,20,3,9
1,0,0,1,0,1,0,1,1,1,1,1,1,7,9,3,0,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,7,9,6,0,20,20,20,3,9
1,0,0,1,0,1,1,1,1,1,0,1,1,7,10,9,1,20,20,20,3,9
1,0,0,1,0,1,0,1,1,1,1,1,1,7,10,9,3,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,7,10,9,6,20,20,20,3,9
1,0,1,0,0,1,0,1,1,1,1,1,1,8,7,3,0,20,20,20,3,9
1,0,1,0,0,1,0,1,1,1,1,1,1,8,10,7,3,20,20,20,3,9
1,0,1,1,0,1,0,1,0,1,1,1,1,8,12,3,0,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,8,12,6,0,20,20,20,3,9
1,0,1,1,0,1,0,1,0,1,1,1,1,8,12,10,3,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,8,12,10,6,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,9,9,7,0,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,9,10,9,7,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,9,12,9,0,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,9,12,10,9,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,10,12,7,0,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,10,12,10,7,20,20,20,3,9
1,0,1,0,0,1,0,1,1,1,1,1,1,11,7,6,3,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,12,9,7,6,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,12,12,9,6,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,13,12,7,6,20,20,20,3,9
1,0,1,1,0,0,0,1,1,1,1,1,1,14,12,9,7,20,20,20,3,9
1,0,0,1,1,1,1,1,1,1,0,1,1,3,11,10,0,20,20,20,3,10
1,0,0,0,1,1,1,1,1,1,1,1,1,4,4,1,0,20,20,20,3,10
1,0,1,0,1,0,1,1,1,1,1,1,1,4,6,4,0,20,20,20,3,10
1,1,0,0,1,0,1,1,1,1,1,1,1,4,8,4,0,20,20,20,3,10
1,0,0,0,1,1,1,1,1,1,1,1,1,4,10,4,1,20,20,20,3,10
1,1,1,0,1,0,1,1,1,1,1,0,1,4,10,5,4,20,20,20,3,10
1,1,0,0,0,1,1,1,1,1,1,1,1,5,8,3,0,20,20,20,3,10
1,0,0,1,1,0,1,1,1,1,1,1,1,5,9,4,0,20,20,20,3,10
1,1,1,0,0,1,1,1,1,1,1,0,1,5,10,5,3,20,20,20,3,10
1,0,0,1,1,0,1,1,1,1,1,1,1,5,10,9,4,20,20,20,3,10
1,0,0,1,1,1,1,1,1,1,1,0,1,5,11,10,4,20,20,20,3,10
1,0,1,0,1,0,1,1,1,1,1,1,1,6,7,4,0,20,20,20,3,10
1,1,1,1,0,0,1,1,1,1,0,1,1,6,9,5,0,20,20,20,3,10
1,1,0,1,0,0,1,1,1,1,1,1,1,6,9,8,0,20,20,20,3,10
1,0,1,0,1,0,1,1,1,1,1,1,1,6,10,7,4,20,20,20,3,10
1,1,1,1,0,0,1,1,1,1,0,1,1,6,10,9,5,20,20,20,3,10
1,1,0,1,0,0,1,1,1,1,1,1,1,6,10,9,8,20,20,20,3,10
1,0,0,1,1,1,1,1,1,1,0,1,1,6,11,1,0,20,20,20,3,10
1,0,0,1,1,1,1,1,1,1,0,1,1,6,11,10,1,20,20,20,3,10
1,0,0,1,1,1,1,1,1,1,1,0,1,6,11,10,3,20,20,20,3,10
1,0,1,1,1,0,1,1,0,1,1,1,1,6,12,4,0,20,20,20,3,10
1,0,1,1,1,0,1,1,0,1,1,1,1,6,12,10,4,20,20,20,3,10
1,0,0,0,1,1,1,1,1,1,1,1,1,7,4,3,1,20,20,20,3,10
1,0,1,0,1,1,1,1,1,1,1,0,1,7,6,4,3,20,20,20,3,10
1,1,1,0,1,0,1,1,1,1,1,0,1,7,6,5,4,20,20,20,3,10
1,0,1,0,0,1,1,1,1,1,1,1,1,7,7,1,0,20,20,20,3,10
1,1,1,0,0,0,1,1,1,1,1,1,1,7,7,5,0,20,20,20,3,10
1,1,0,0,1,1,1,1,1,0,1,1,1,7,8,4,1,20,20,20,3,10
1,1,0,0,1,1,1,1,1,1,1,0,1,7,8,4,3,20,20,20,3,10
1,1,1,0,1,0,1,1,1,1,1,0,1,7,8,5,4,20,20,20,3,10
1,1,1,0,1,0,1,1,1,1,1,0,1,7,8,6,4,20,20,20,3,10
1,1,1,0,0,0,1,1,1,1,1,1,1,7,8,7,0,20,20,20,3,10
1,0,1,0,0,1,1,1,1,1,1,1,1,7,10,7,1,20,20,20,3,10
1,1,1,0,0,0,1,1,1,1,1,1,1,7,10,7,5,20,20,20,3,10
1,1,1,0,0,0,1,1,1,1,1,1,1,7,10,8,7,20,20,20,3,10
1,0,0,1,1,1,1,1,1,1,0,1,1,7,11,9,0,20,20,20,3,10
1,0,0,1,1,1,1,1,1,1,0,1,1,7,11,10,9,20,20,20,3,10
1,0,1,0,0,1,1,1,1,1,1,1,1,8,6,3,1,20,20,20,3,10
1,1,1,0,0,1,1,1,1,1,1,1,0,8,6,5,1,20,20,20,3,10
1,1,1,0,0,1,1,1,1,1,1,0,1,8,6,5,3,20,20,20,3,10
1,1,0,0,0,1,1,1,1,1,1,1,1,8,8,3,1,20,20,20,3,10
1,1,1,0,0,1,1,1,1,1,1,1,0,8,8,5,1,20,20,20,3,10
1,1,1,0,0,1,1,1,1,1,1,0,1,8,8,5,3,20,20,20,3,10
1,1,1,0,0,1,1,1,1,1,1,1,0,8,8,6,1,20,20,20,3,10
1,1,1,0,0,1,1,1,1,1,1,0,1,8,8,6,3,20,20,20,3,10
1,0,0,1,1,1,1,1,1,0,1,1,1,8,11,4,1,20,20,20,3,10
1,0,0,1,1,1,1,1,1,1,1,0,1,8,11,4,3,20,20,20,3,10
1,1,0,1,1,1,1,1,1,0,1,0,1,8,11,8,4,20,20,20,3,10
1,0,1,0,1,0,1,1,1,1,1,1,1,9,7,6,4,20,20,20,3,10
1,0,0,1,0,1,1,1,1,1,1,1,1,9,9,3,1,20,20,20,3,10
1,0,1,1,0,1,0,1,1,1,1,1,1,9,9,6,3,20,20,20,3,10
1,0,1,0,0,1,1,1,1,1,1,1,1,10,7,3,1,20,20,20,3,10
1,0,1,0,0,1,1,1,1,1,1,1,1,10,7,6,1,20,20,20,3,10
1,1,1,0,0,0,1,1,1,1,1,1,1,10,7,6,5,20,20,20,3,10
1,1,1,0,0,0,1,1,1,1,1,1,1,10,8,7,5,20,20,20,3,10
1,1,1,0,0,0,1,1,1,1,1,1,1,10,8,7,6,20,20,20,3,10
1,0,0,1,1,1,1,1,1,1,0,1,1,10,11,9,1,20,20,20,3,10
1,0,1,1,0,1,0,1,1,1,1,1,1,10,12,6,3,20,20,20,3,10
1,0,1,1,0,1,0,1,1,1,1,1,1,11,9,7,3,20,20,20,3,10
1,0,1,1,0,1,0,1,1,1,1,1,1,11,12,9,3,20,20,20,3,10
1,0,1,1,0,1,0,1,1,1,1,1,1,12,12,7,3,20,20,20,3,10
1,1,1,0,1,0,1,1,1,1,1,1,1,3,5,4,0,20,20,20,3,11
1,1,1,0,0,1,1,1,1,1,1,1,1,4,5,3,0,20,20,20,3,11
1,0,0,1,1,1,1,1,1,1,1,1,1,4,11,4,0,20,20,20,3,11
1,0,0,1,1,1,1,1,1,1,1,1,1,5,11,3,0,20,20,20,3,11
1,1,1,1,1,1,1,1,1,1,0,0,1,5,11,10,5,20,20,20,3,11
1,0,1,1,1,1,1,1,1,1,1,0,1,5,11,10,6,20,20,20,3,11
1,1,0,1,1,1,1,1,1,1,1,0,1,5,11,10,8,20,20,20,3,11
1,1,1,0,1,1,1,1,1,1,1,0,1,6,5,4,3,20,20,20,3,11
1,0,1,0,1,1,1,1,1,1,1,1,1,6,6,4,1,20,20,20,3,11
1,0,1,1,0,1,1,1,1,1,1,1,1,6,12,1,0,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,6,12,5,0,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,6,12,8,0,20,20,20,3,11
1,0,1,1,0,1,1,1,1,1,1,1,1,6,12,10,1,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,6,12,10,5,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,6,12,10,8,20,20,20,3,11
1,1,1,0,0,1,1,1,1,1,1,1,1,7,5,3,1,20,20,20,3,11
1,0,0,1,1,1,1,1,1,1,1,1,1,7,9,4,1,20,20,20,3,11
1,0,0,1,1,1,1,1,1,1,1,1,1,7,9,4,3,20,20,20,3,11
1,0,1,1,1,0,1,1,1,1,1,1,1,7,9,6,4,20,20,20,3,11
1,1,0,1,1,0,1,1,1,1,1,1,1,7,9,8,4,20,20,20,3,11
1,0,1,1,1,1,1,1,1,1,1,0,1,7,11,6,4,20,20,20,3,11
1,0,1,0,1,1,1,1,1,1,1,1,1,8,7,4,1,20,20,20,3,11
1,0,1,0,1,1,1,1,1,1,1,1,1,8,7,4,3,20,20,20,3,11
1,1,1,0,1,0,1,1,1,1,1,1,1,8,7,5,4,20,20,20,3,11
1,1,1,0,1,0,1,1,1,1,1,1,1,8,8,7,4,20,20,20,3,11
1,1,1,1,0,1,1,1,1,1,0,1,1,8,9,5,1,20,20,20,3,11
1,0,1,1,0,1,1,1,1,1,1,1,1,8,9,6,1,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,8,9,6,5,20,20,20,3,11
1,1,0,1,0,1,1,1,1,1,1,1,1,8,9,8,1,20,20,20,3,11
1,1,0,1,0,1,1,1,1,1,1,1,1,8,9,8,3,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,8,9,8,5,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,8,9,8,6,20,20,20,3,11
1,1,1,1,1,1,0,1,1,1,1,0,1,8,10,3,2,20,20,20,3,11
1,1,1,1,1,1,0,1,1,1,1,0,1,8,10,6,2,20,20,20,3,11
1,0,0,1,1,1,1,1,1,1,1,1,1,8,11,3,1,20,20,20,3,11
1,0,1,1,1,1,1,1,1,1,1,0,1,8,11,6,3,20,20,20,3,11
1,1,0,1,1,1,1,1,1,0,1,1,1,8,11,8,1,20,20,20,3,11
1,1,0,1,1,1,1,1,1,1,1,0,1,8,11,8,3,20,20,20,3,11
1,0,0,1,1,1,1,1,1,1,1,1,1,8,11,9,4,20,20,20,3,11
1,0,1,1,1,1,1,1,0,1,1,1,1,8,12,4,3,20,20,20,3,11
1,0,1,1,1,0,1,1,1,1,1,1,1,8,12,6,4,20,20,20,3,11
1,1,1,0,0,1,1,1,1,1,1,1,1,9,7,5,1,20,20,20,3,11
1,1,1,0,0,1,1,1,1,1,1,1,1,9,7,5,3,20,20,20,3,11
1,1,1,0,0,1,1,1,1,1,1,1,1,9,8,7,1,20,20,20,3,11
1,1,1,0,0,1,1,1,1,1,1,1,1,9,8,7,3,20,20,20,3,11
1,0,1,1,1,0,1,1,1,1,1,1,1,9,9,7,4,20,20,20,3,11
1,0,0,1,1,1,1,1,1,1,1,1,1,9,11,9,3,20,20,20,3,11
1,0,1,1,0,1,1,1,1,1,1,1,1,9,12,3,1,20,20,20,3,11
1,0,1,1,0,1,1,1,1,1,1,1,1,9,12,6,1,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,9,12,6,5,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,9,12,8,5,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,9,12,8,6,20,20,20,3,11
1,0,1,1,1,0,1,1,1,1,1,1,1,9,12,9,4,20,20,20,3,11
1,1,1,1,1,1,1,1,1,0,1,0,1,10,8,4,2,20,20,20,3,11
1,0,1,1,0,1,1,1,1,1,1,1,1,10,9,7,1,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,10,9,7,5,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,10,9,8,7,20,20,20,3,11
1,0,1,1,1,0,1,1,1,1,1,1,1,10,12,7,4,20,20,20,3,11
1,0,1,1,0,1,1,1,1,1,1,1,1,10,12,9,1,20,20,20,3,11
1,1,1,1,0,0,1,1,1,1,1,1,1,10,12,9,5,20,20,20,3,11
